Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3294632,13/9/2026,Sydney City JAC Motors,HunterBuild,2256,JAC,Hunter,NSW,,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2018,Range Rover,Velar HSE,115000
3293920,11/9/2026,JAC Motors Wanneroo,HunterBuild,6027,JAC,Hunter,WA,,Hunter Pro 4x4,Karak,Karak,"Front & Rear Diff Lock $1,888",,,,,
3293394,10/9/2026,JAC Motors Penrith,HunterBuild,2750,JAC,Hunter,NSW,,Hunter Pro 4x4,Stratus,,,Yes,,,,
3292946,9/9/2026,JAC Motors Dandenong,HunterBuild,3984,JAC,Hunter,NSW,,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,Chevrolet,Silverado MY23,LTZ1500,80000
3292941,9/9/2026,JAC Motors Gawler,HunterBuild,5114,JAC,Hunter,SA,,Hunter X 4x4,Karak,Hammerhead,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2015,Holden,Commodore Storm Wagon,278000
3292868,9/9/2026,JAC Motors Midland,HunterBuild,6210,JAC,Hunter,WA,,Hunter X 4x4,Hammerhead,,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",,,,,
3291411,7/9/2026,Northern JAC Motors,HunterBuild,3029,JAC,Hunter,NSW,,Hunter Pro 4x4,Stratus,I would like to wait for my preferred colour.,,No,,,,
3290660,6/9/2026,JAC Motors Queanbeyan,Reserve Your Build,N/A,JAC,Hunter,NSW,,Hunter Pro 4x4,Karak,I would like to wait for my preferred colour.,,Yes,2021,FORD,RANGER FX4,85335
3290452,5/9/2026,JAC Motors Rockhampton,HunterBuild,4879,JAC,Hunter,QLD,,Hunter Pro 4x4,Stratus,Huntsman,,Yes,2017,Holden trax turbo,,100000
3290051,4/9/2026,Cricks Tweed JAC Motors,HunterBuild,4223,JAC,Hunter,NSW,,Hunter X 4x4,Karak,Hammerhead,Front & Rear Diff Lock - Already included,No,,,,
3289878,4/9/2026,Cricks Highway JAC Motors,HunterBuild,4109,JAC,Hunter,QLD,,Hunter X 4x4,Ochre,Huntsman,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",Yes,2012,bmw,x3 twin turbo 6cyl,200k
3289769,3/9/2026,Northern JAC Motors,Reserve Your Build,N/A,JAC,Hunter,VIC,,Hunter X 4x4,Karak,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3289720,3/9/2026,Northern JAC Motors,HunterBuild,3720,JAC,Hunter,VIC,,Hunter X 4x4,Ochre,,Front & Rear Diff Lock - Already included,Yes,,,,
