Lead ID,Date,Location,Postcode,State,Registration Type,Hunter Badge,Trade-in Year,Trade-in Make,Trade-in Model,Odometer
3265335,14/7/2026,Sydney City JAC Motors,2224,NSW,Business,Hunter X 4x4,2020,LDV,T60 Luxe Mega Tub,78000
3264468,12/7/2026,Northern JAC Motors,3134,VIC,Personal,Hunter X 4x4,Mitsubishi,Triton,GLX-R,350000
3264396,12/7/2026,JAC Motors Rockhampton,4870,QLD,Personal,Hunter X 4x4,2018,HONDA,CRV VTI LX,51000
3264345,12/7/2026,Ipswich JAC Motors,4300,QLD,Personal,Hunter X 4x4,2023,Toyota,Rav4 cruiser,58000
3264296,12/7/2026,JAC Motors Midland,6330,NSW,Personal,Hunter X 4x4,2015,Ford Ranger,XLT dual cab 4x4,105453
3264254,11/7/2026,Northern JAC Motors,3429,VIC,Personal,Hunter X 4x4,2009,Ford,Falcon G6ET,310000
3264210,11/7/2026,Kings Cars JAC Motors,3340,VIC,Personal,Hunter X 4x4,2023,Tesla,Y performance,10900
3264171,11/7/2026,JAC Motors Queanbeyan,2614,ACT,Personal,Hunter X 4x4,2012,Toyota,Prado,295000
3264096,11/7/2026,JAC Motors Sunshine Coast - Maroochydore,4557,QLD,Business,Hunter X 4x4,2022,Volkwagen,Amarok 580Highline,56000
3264075,11/7/2026,Ipswich JAC Motors,4343,QLD,Personal,Hunter X 4x4,Ldv d90,D90,Executive,75000
3263889,10/7/2026,JAC Motors Wanneroo,6018,WA,Personal,Hunter X 4x4,2000,Mazda,CX5,71000
3263884,10/7/2026,JAC Motors Wanneroo,6031,NSW,Personal,Hunter Pro 4x4,2024,Tesla,Y,49140
3263836,10/7/2026,Cricks Highway JAC Motors,4018,NSW,Personal,Hunter Pro 4x4,2014,Holden,Captiva,200000
3263795,10/7/2026,JAC Motors Wodonga,2650,NSW,Personal,Hunter X 4x4,2023,Ford,Everest Sport V6,70000
3263776,10/7/2026,Geoff King JAC Motors,2444,NSW,Personal,Hunter X 4x4,2017,Toyota,SR5,120000
3263456,9/7/2026,Kings Cars JAC Motors,3460,VIC,Personal,Hunter X 4x4,2021,Isuzu,Dmax,105000
3263069,9/7/2026,JAC Motors Hillcrest,4352,NSW,Personal,Hunter Pro 4x4,2016,ford,ranger,222000
3262818,8/7/2026,JAC Motors Wanneroo,6025,NSW,Personal,Hunter Pro 4x4,2019,Volkswa,Amorak,105000
3262507,7/7/2026,Coral Coast JAC Motors,4810,QLD,Personal,Hunter X 4x4,2022,Hyundai,Tuscon NLine Highlander,91000
3262471,7/7/2026,Northern JAC Motors,3109,NSW,Personal,Hunter Pro 4x4,Ford,Raptor,2023,96000
3262203,7/7/2026,JAC Motors Werribee,3336,VIC,Personal,Hunter X 4x4,2017,Ford,Focus,17900
3262160,7/7/2026,JAC Motors Hampstead Gardens,5152,NSW,Personal,Hunter X 4x4,2020,Ford,Ranger raptor,100000
3261412,6/7/2026,Kings Cars JAC Motors,3350,NSW,Personal,Hunter X 4x4,2019,Honda,Hrv,"180,000"
3260884,4/7/2026,JAC Motors Hillcrest,4074,QLD,Personal,Hunter Pro 4x4,2011,Jeep,Cherokee Sport,125448
3260746,3/7/2026,JAC Motors Liverpool,2172,NSW,Personal,Hunter X 4x4,2021,Mitsubitshi,Express,130000
3260561,3/7/2026,JAC Motors Liverpool,2206,NSW,Personal,Hunter X 4x4,2019,Ford,Ranger,270000
