Lead ID,Date,Location,Postcode,State,Registration Type,Hunter Badge,Trade-in Year,Trade-in Make,Trade-in Model,Odometer
3247189,7/6/2026,Sydney City JAC Motors,N/A,NSW,Business,Hunter X 4x4,2011,Nissan,Navara,300000
3247111,6/6/2026,JAC Motors Queanbeyan,N/A,NSW,Personal,Hunter X 4x4,2018,Renault,Koleos,"92,000"
3243347,30/5/2026,JAC Motors Werribee,N/A,VIC,Personal,Hunter Pro 4x4,2015,Holden,Colorado,311100
3240170,24/5/2026,JAC Motors Sunshine Coast - Maroochydore,N/A,QLD,Personal,Hunter Pro 4x4,2020,Mitsubishi Pajero Sport,GLS,79000
3239959,23/5/2026,Sydney City JAC Motors,N/A,NSW,Business,Hunter X 4x4,2022,Ldv t60,Pro,40000
3237048,17/5/2026,Northern JAC Motors,N/A,VIC,Business,Hunter X 4x4,2013,Honda,Civic,157611
3235780,14/5/2026,Coral Coast JAC Motors,N/A,QLD,Personal,Hunter X 4x4,2004,Nissan,Navara,264000
3234689,12/5/2026,JAC Motors Liverpool,N/A,NSW,Business,Hunter Pro 4x4,2022,RAM,1500 Limited,122000
3233404,10/5/2026,JAC Motors Campbelltown,N/A,NSW,Personal,Hunter X 4x4,2017,Mitsubishi,Pajero sport,220000
3233389,10/5/2026,John Davis JAC Motors,N/A,NSW,Business,Hunter Pro 4x4,2022,Ldv,Sk8c ute,75000
3232805,8/5/2026,JAC Motors Bendigo,N/A,VIC,Personal,Hunter X 4x4,2021,Ldv,D90,105000
3232606,8/5/2026,von Bibra JAC Motors,N/A,QLD,Personal,Hunter X 4x4,2017,Mitsubishi Triton,Triton,160k
3232413,8/5/2026,Sydney City JAC Motors,N/A,NSW,Personal,Hunter Pro 4x4,2014,Volkswagen,Amarok,140000
3232053,7/5/2026,JAC Motors Gawler,N/A,SA,Business,Hunter Pro 4x4,2025,JAC,T9,40000
3231902,7/5/2026,JAC Motors Werribee,N/A,VIC,Business,Hunter Pro 4x4,2004,lexus,RX330,200000
3231798,6/5/2026,Northern JAC Motors,N/A,VIC,Personal,Hunter Pro 4x4,2021,ford,everest,97000
3231526,6/5/2026,JAC Motors Penrith,N/A,NSW,Personal,Hunter Pro 4x4,2009,Holden,CAPTIVA,220000
3231120,6/5/2026,Parramatta City JAC Motors,N/A,NSW,Business,Hunter Pro 4x4,,,,
3231098,5/5/2026,JAC Motors Penrith,N/A,NSW,Personal,Hunter X 4x4,2018,Hyundai,Santa Fe,180000
3231087,5/5/2026,JAC Motors Queanbeyan,N/A,NSW,Personal,Hunter Pro 4x4,2015,Nissan,Navara,110000
3231025,5/5/2026,JAC Motors Townsville,N/A,QLD,Personal,Hunter Pro 4x4,2018,Mazda,BT-50 space cab,73000
3230988,5/5/2026,Northern JAC Motors,N/A,VIC,Personal,Hunter Pro 4x4,2023,Mazda,BT50 Thunder,80000
3230980,5/5/2026,Sydney City JAC Motors,N/A,NSW,Business,Hunter X 4x4,2010,Mercedes,E250 Convertible,184000
3230960,5/5/2026,Keystar JAC Motors Morayfield,N/A,QLD,Business,Hunter Pro 4x4,,,,
3230954,5/5/2026,Cricks Tweed JAC Motors,N/A,QLD,Personal,Hunter X 4x4,,Navara,"2021, NP300 STX fully optioned, sunroof, leather and 50ks",
3230942,5/5/2026,JAC Motors Newcastle,N/A,NSW,Personal,Hunter Pro 4x4,2011,hyundai,i30,215000
3230932,5/5/2026,JAC Motors Werribee,N/A,VIC,Personal,Hunter Pro 4x4,2018,Mitsubishi,Triton,260000
3230931,5/5/2026,JAC Motors Capalaba,N/A,QLD,Business,Hunter X 4x4,2021,Ford,Ranger XLT,46000
3230918,5/5/2026,JAC Motors Hampstead Gardens,N/A,SA,Personal,Hunter X 4x4,2023,Tesla,Model Y,33000
3230917,5/5/2026,JAC Motors Gawler,N/A,SA,Personal,Hunter X 4x4,2015,Colorado Z71,Holden,"340,000"
3230915,5/5/2026,JAC Motors Penrith,N/A,NSW,Personal,Hunter X 4x4,2022,Subaru,Forester,27000
