Week Start,Week End,Original Location,Dealer Type,Is Combined,Combine To,Final Location,Original Enquiries,Final Location Enquiries
17/06/2026,23/06/2026,Parramatta City JAC Motors,Rural,True,JAC Motors,JAC Motors,1,4
17/06/2026,23/06/2026,JAC Motors Wanneroo,Metro,False,,JAC Motors Wanneroo,4,4
17/06/2026,23/06/2026,JAC Motors,Needs Jason confirmation,False,,JAC Motors,3,4
17/06/2026,23/06/2026,von Bibra JAC Motors,Metro,False,,von Bibra JAC Motors,3,3
17/06/2026,23/06/2026,Geoff King JAC Motors,Rural,False,,Geoff King JAC Motors,2,2
17/06/2026,23/06/2026,JAC Motors Hampstead Gardens,Metro,False,,JAC Motors Hampstead Gardens,2,2
17/06/2026,23/06/2026,JAC Motors Midland,Rural,False,,JAC Motors Midland,2,2
17/06/2026,23/06/2026,Keystar JAC Motors Kippa-Ring,Metro,False,,Keystar JAC Motors Kippa-Ring,2,2
17/06/2026,23/06/2026,Northern JAC Motors,Metro,False,,Northern JAC Motors,2,2
17/06/2026,23/06/2026,JAC Motors Bunbury,Rural,False,,JAC Motors Bunbury,1,1
17/06/2026,23/06/2026,JAC Motors Campbelltown,Metro,False,,JAC Motors Campbelltown,1,1
17/06/2026,23/06/2026,JAC Motors Penrith,Metro,False,,JAC Motors Penrith,1,1
17/06/2026,23/06/2026,JAC Motors Rockhampton,Rural,False,,JAC Motors Rockhampton,1,1
17/06/2026,23/06/2026,JAC Motors Sunshine Coast - Maroochydore,Metro,False,,JAC Motors Sunshine Coast - Maroochydore,1,1
17/06/2026,23/06/2026,John Davis JAC Motors,Rural,False,,John Davis JAC Motors,1,1
